// Generated from gauss_120.lut using:
// awk 'NR>1 {printf "%d, %d, %d, %d,\n",$1*255,$2*255,$3*255,$4*255}' gauss_120.lut

0, 21, 255, 255,
1, 22, 254, 255,
1, 22, 254, 255,
1, 23, 254, 255,
1, 24, 254, 255,
1, 24, 254, 255,
1, 25, 254, 255,
1, 26, 253, 255,
1, 27, 253, 255,
1, 27, 253, 255,
1, 28, 252, 255,
1, 29, 252, 255,
1, 30, 251, 255,
1, 31, 251, 255,
1, 31, 250, 255,
1, 32, 250, 255,
1, 33, 249, 255,
2, 34, 248, 255,
2, 35, 248, 255,
2, 36, 247, 255,
2, 37, 246, 255,
2, 38, 245, 255,
2, 39, 244, 255,
2, 40, 243, 255,
2, 41, 242, 255,
2, 42, 241, 255,
2, 43, 240, 255,
3, 44, 239, 255,
3, 45, 238, 255,
3, 46, 237, 255,
3, 47, 236, 255,
3, 48, 234, 255,
3, 50, 233, 255,
3, 51, 232, 255,
3, 52, 231, 255,
4, 53, 229, 255,
4, 54, 228, 255,
4, 56, 226, 255,
4, 57, 225, 255,
4, 58, 223, 255,
4, 60, 222, 255,
5, 61, 220, 255,
5, 62, 219, 255,
5, 64, 217, 255,
5, 65, 216, 255,
5, 67, 214, 255,
6, 68, 212, 255,
6, 70, 211, 255,
6, 71, 209, 255,
6, 73, 207, 255,
7, 74, 205, 255,
7, 76, 204, 255,
7, 77, 202, 255,
7, 79, 200, 255,
8, 80, 198, 255,
8, 82, 196, 255,
8, 83, 195, 255,
8, 85, 193, 255,
9, 87, 191, 255,
9, 88, 189, 255,
9, 90, 187, 255,
10, 92, 185, 255,
10, 94, 183, 255,
10, 95, 181, 255,
11, 97, 179, 255,
11, 99, 177, 255,
12, 101, 175, 255,
12, 103, 173, 255,
12, 104, 171, 255,
13, 106, 169, 255,
13, 108, 167, 255,
14, 110, 165, 255,
14, 112, 163, 255,
15, 114, 161, 255,
15, 116, 159, 255,
16, 117, 157, 255,
16, 119, 155, 255,
17, 121, 153, 255,
17, 123, 151, 255,
18, 125, 149, 255,
18, 127, 147, 255,
19, 129, 145, 255,
19, 131, 143, 255,
20, 133, 141, 255,
20, 135, 139, 255,
21, 137, 137, 255,
22, 139, 135, 255,
22, 141, 133, 255,
23, 143, 131, 255,
24, 145, 129, 255,
24, 147, 127, 255,
25, 149, 125, 255,
26, 151, 123, 255,
27, 153, 121, 255,
27, 155, 119, 255,
28, 157, 117, 255,
29, 159, 116, 255,
30, 161, 114, 255,
31, 163, 112, 255,
31, 165, 110, 255,
32, 167, 108, 255,
33, 169, 106, 255,
34, 171, 104, 255,
35, 173, 103, 255,
36, 175, 101, 255,
37, 177, 99, 255,
38, 179, 97, 255,
39, 181, 95, 255,
40, 183, 94, 255,
41, 185, 92, 255,
42, 187, 90, 255,
43, 189, 88, 255,
44, 191, 87, 255,
45, 193, 85, 255,
46, 195, 83, 255,
47, 196, 82, 255,
48, 198, 80, 255,
50, 200, 79, 255,
51, 202, 77, 255,
52, 204, 76, 255,
53, 205, 74, 255,
54, 207, 73, 255,
